Serial No.,Image Name,Class,Location,Width,Height,Size (bytes)
1,Apple_10.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_10.jpg,612,610,78409
2,Apple_16.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_16.jpg,612,606,70295
3,Apple_19.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_19.jpg,612,610,48577
4,Apple_2.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_2.jpg,612,610,40945
5,Apple_8.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_8.jpg,166,148,3167
6,Apple_1.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_1.jpg,612,616,83689
7,Apple_14.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_14.jpg,275,266,17856
8,Apple_5.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_5.jpg,612,610,67355
9,Apple_20.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_20.jpg,612,610,52554
10,Apple_6.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_6.jpg,612,614,104132
11,Apple_9.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_9.jpg,612,608,79330
12,Apple_15.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_15.jpg,224,221,11139
13,Apple_4.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_4.jpg,1024,990,138595
14,Apple_18.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_18.jpg,270,272,16830
15,Apple_12.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_12.jpg,1002,1000,189615
16,Apple_3.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_3.jpg,275,281,13402
17,Apple_13.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_13.jpg,612,610,78187
18,Apple_7.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_7.jpg,612,612,110806
19,Apple_11.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_11.jpg,612,612,61196
20,Apple_17.jpg,Apple,/Fruits_Plant_Leaf/Apple/Apple_17.jpg,580,582,101843
21,Banana_6.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_6.jpg,225,225,5040
22,Banana_16.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_16.jpg,251,240,33825
23,Banana_11.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_11.jpg,239,240,26325
24,Banana_12.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_12.jpg,440,430,36104
25,Banana_4.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_4.jpg,240,240,20971
26,Banana_18.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_18.jpg,225,225,8439
27,Banana_26.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_26.jpg,253,259,10534
28,Banana_8.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_8.jpg,259,240,32763
29,Banana_7.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_7.jpg,210,226,28812
30,Banana_19.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_19.jpg,282,280,13124
31,Banana_25.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_25.jpg,440,431,31487
32,Banana_1.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_1.jpg,194,195,14386
33,Banana_23.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_23.jpg,270,240,24072
34,Banana_10.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_10.jpg,275,271,11751
35,Banana_24.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_24.jpg,275,273,10127
36,Banana_2.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_2.jpg,308,309,21111
37,Banana_13.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_13.jpg,186,191,19457
38,Banana_21.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_21.jpg,249,240,18703
39,Banana_3.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_3.jpg,429,431,27351
40,Banana_5.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_5.jpg,183,190,20178
41,Banana_17.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_17.jpg,289,284,24232
